Damaged_Parts,Severity,Cost_Repair_Euros
"Dickey, Light, Bumper, Fender, Windshield",severe,575
"Bonnet, Fender, Door, Dickey, Light, Windshield, Bumper",severe,742
Door,moderate,65
"Light, Bumper, Fender, Dickey, Bonnet, Windshield",severe,708
"Windshield, Light, Bumper",minor,141
"Door, Dickey, Light, Fender, Bonnet",minor,205
"Bumper, Windshield, Dickey, Fender",severe,540
"Light, Fender, Bonnet, Bumper",moderate,324
"Bonnet, Bumper, Dickey, Fender",moderate,372
"Bumper, Windshield",minor,62
"Bonnet, Dickey, Light, Fender, Bumper",moderate,450
"Windshield, Door, Fender, Bumper",severe,472
"Dickey, Light, Bumper, Bonnet",severe,564
"Door, Bumper, Light, Dickey, Fender, Bonnet, Windshield",minor,238
"Fender, Door, Bumper, Dickey, Bonnet, Windshield, Light",severe,1008
"Bonnet, Light, Windshield",moderate,297
"Fender, Windshield, Bumper, Light, Door",moderate,460
"Dickey, Door, Bonnet",moderate,150
"Bonnet, Bumper",minor,78
"Windshield, Bumper, Fender, Light, Bonnet",moderate,275
"Dickey, Bumper",moderate,146
"Bumper, Fender, Dickey, Windshield, Door, Light",moderate,390
"Bumper, Bonnet",minor,86
"Bonnet, Dickey",moderate,134
"Fender, Dickey, Door, Light, Windshield, Bonnet",minor,234
"Fender, Dickey, Windshield, Bumper, Light",severe,560
"Bonnet, Windshield, Bumper",moderate,252
"Bonnet, Windshield, Door, Dickey, Bumper",minor,170
"Fender, Windshield, Dickey",severe,336
"Bonnet, Fender, Bumper, Light, Dickey, Door",minor,240
Door,moderate,83
Bumper,minor,40
"Dickey, Bonnet, Door, Fender, Windshield, Light, Bumper",severe,735
"Bumper, Windshield",moderate,148
Light,minor,47
"Fender, Light, Windshield, Bonnet, Dickey, Door",minor,180
"Bonnet, Light",moderate,174
"Bonnet, Dickey, Fender, Windshield, Door, Light, Bumper",minor,294
"Windshield, Fender, Bonnet, Door, Light, Bumper",severe,720
"Dickey, Bonnet, Bumper",minor,60
Bumper,moderate,85
"Bumper, Door, Fender, Dickey, Light",severe,635
"Bumper, Windshield, Dickey, Fender, Light",moderate,420
"Door, Bonnet, Fender, Light, Bumper, Windshield, Dickey",moderate,357
"Bumper, Light, Dickey, Fender, Bonnet",minor,180
"Light, Dickey, Bonnet",moderate,261
"Fender, Dickey, Bumper, Bonnet",severe,412
"Bonnet, Light, Dickey, Bumper, Windshield, Door, Fender",minor,203
"Bumper, Fender",moderate,154
"Dickey, Door, Bumper",severe,417
"Door, Bonnet",minor,48
"Door, Windshield, Dickey, Bumper, Light",moderate,380
"Door, Fender, Windshield, Bumper",moderate,256
"Bumper, Door, Bonnet, Dickey, Light, Fender, Windshield",minor,266
Bumper,moderate,69
"Bonnet, Door",moderate,144
"Dickey, Door, Windshield, Fender, Bonnet",severe,605
Dickey,moderate,90
"Bonnet, Bumper",severe,202
"Bonnet, Windshield, Dickey, Fender",severe,568
"Fender, Dickey",moderate,108
Bumper,severe,114
Bonnet,moderate,95
"Bumper, Door, Dickey, Fender",moderate,244
Bonnet,moderate,54
"Windshield, Bonnet, Light, Door, Fender, Dickey",moderate,324
"Dickey, Bumper, Fender, Windshield",moderate,304
"Door, Dickey, Bumper, Windshield",severe,548
Dickey,severe,122
"Dickey, Fender, Bonnet, Light, Bumper, Windshield, Door",severe,742
"Windshield, Dickey, Fender, Light, Bonnet, Door, Bumper",minor,224
Fender,minor,24
"Bonnet, Light, Bumper, Dickey, Fender",severe,590
Door,severe,133
Dickey,minor,41
"Bonnet, Fender, Light, Windshield, Bumper, Door",severe,810
"Windshield, Fender, Bonnet, Dickey, Bumper, Light",minor,210
"Bumper, Door, Dickey, Bonnet, Light",severe,615
"Bumper, Dickey, Bonnet",moderate,297
"Light, Windshield, Fender, Dickey, Bonnet",minor,120
Dickey,minor,36
"Windshield, Light, Door, Fender",moderate,292
Bonnet,minor,28
"Windshield, Dickey, Fender",minor,63
"Bumper, Fender, Bonnet, Windshield",minor,176
"Windshield, Bonnet",moderate,112
"Dickey, Bonnet, Bumper",severe,444
Door,minor,47
"Door, Bonnet, Fender, Light, Windshield, Dickey",minor,234
"Bumper, Door, Fender, Bonnet, Light",minor,165
Windshield,moderate,90
"Bonnet, Light",moderate,166
Bumper,minor,42
"Bumper, Bonnet, Windshield, Dickey, Fender, Light",severe,798
"Bumper, Dickey",moderate,104
"Bumper, Dickey, Fender, Light, Windshield, Door, Bonnet",severe,756
"Bonnet, Bumper, Windshield, Dickey, Door, Light, Fender",minor,315
"Fender, Bonnet, Door, Dickey, Bumper",moderate,325
"Dickey, Fender, Bumper, Windshield, Bonnet, Door, Light",moderate,490
"Bonnet, Dickey, Fender, Windshield, Bumper, Door",severe,846
"Fender, Bonnet",severe,232
"Bonnet, Fender, Windshield, Bumper, Dickey, Door",severe,726
"Bumper, Bonnet",moderate,196
Windshield,moderate,75
"Light, Dickey, Bumper, Bonnet, Door, Fender, Windshield",minor,336
Bumper,moderate,95
Light,minor,21
"Windshield, Dickey, Bumper, Light, Door, Bonnet",minor,222
"Door, Bumper, Light, Fender",minor,184
"Bumper, Light, Door",minor,93
"Dickey, Light, Bumper, Bonnet, Door, Fender",severe,774
"Bonnet, Light, Windshield, Bumper, Door, Fender, Dickey",moderate,686
"Windshield, Door, Dickey",moderate,174
Bumper,minor,45
"Bonnet, Bumper, Door, Windshield, Dickey, Fender",minor,282
"Bumper, Bonnet, Windshield, Dickey, Fender",minor,225
Dickey,severe,121
"Bumper, Dickey, Light, Fender, Windshield, Bonnet",minor,204
"Windshield, Fender, Bonnet",minor,126
"Fender, Bonnet, Door, Dickey, Light, Windshield, Bumper",moderate,665
"Bonnet, Bumper, Door, Fender, Light, Dickey, Windshield",minor,168
"Light, Bumper, Fender",moderate,237
"Light, Dickey",moderate,110
Windshield,severe,125
Bumper,severe,129
"Bonnet, Light",minor,88
"Door, Fender, Light, Windshield, Bumper, Dickey",severe,618
Bonnet,moderate,66
"Bonnet, Light, Dickey, Windshield, Fender, Door",minor,198
"Bonnet, Fender, Windshield, Light",moderate,336
"Door, Dickey, Bonnet, Light, Fender, Windshield, Bumper",moderate,364
"Dickey, Bonnet, Windshield, Door, Bumper, Light",severe,654
"Door, Fender",moderate,130
"Bonnet, Door",severe,206
"Light, Door",minor,40
"Bumper, Fender",minor,56
"Windshield, Bonnet, Light, Fender, Door",moderate,250
"Windshield, Bonnet, Fender, Bumper",moderate,384
Light,moderate,74
"Dickey, Bonnet, Bumper, Fender, Door, Windshield, Light",moderate,427
"Bonnet, Door, Fender, Bumper, Windshield, Light, Dickey",severe,973
"Windshield, Light",severe,206
Bumper,minor,36
Door,moderate,53
"Bumper, Fender, Windshield, Door, Dickey",moderate,365
"Windshield, Door, Bumper",moderate,237
"Fender, Bumper, Windshield, Bonnet",moderate,384
"Light, Bonnet, Dickey, Fender, Windshield, Bumper",severe,768
"Bonnet, Light, Windshield, Bumper",severe,484
"Light, Door, Fender, Bonnet, Windshield",severe,575
"Bumper, Windshield, Bonnet, Fender, Door, Dickey, Light",moderate,595
"Door, Light, Bonnet, Bumper, Dickey",moderate,335
"Light, Bumper",moderate,184
Dickey,severe,138
"Bumper, Windshield, Light, Fender, Door",moderate,370
"Bumper, Fender",moderate,166
"Dickey, Light, Windshield, Fender, Door, Bonnet",severe,882
"Dickey, Bonnet, Windshield, Fender",moderate,388
"Bonnet, Windshield, Door, Light, Bumper",severe,635
Fender,minor,25
"Dickey, Bumper, Windshield, Fender, Door",severe,505
"Windshield, Bumper, Dickey, Light",severe,440
"Door, Fender, Dickey, Bonnet",minor,160
"Bonnet, Door, Dickey, Bumper, Fender, Windshield, Light",severe,910
"Dickey, Bumper, Fender, Door",minor,84
"Light, Dickey, Bonnet, Windshield, Door, Bumper, Fender",severe,917
"Fender, Bumper",moderate,182
Bonnet,severe,129
"Bumper, Light, Fender, Door",severe,588
"Dickey, Windshield, Bumper, Door, Bonnet, Fender, Light",severe,938
"Fender, Dickey, Door, Bonnet, Bumper, Light",minor,300
Door,moderate,52
"Fender, Light",minor,62
"Bonnet, Door, Dickey, Windshield, Bumper, Light",moderate,366
"Dickey, Bumper, Light, Bonnet, Windshield, Door, Fender",moderate,581
"Bumper, Door, Light",minor,66
"Bonnet, Bumper, Dickey",minor,105
Bonnet,minor,38
"Fender, Bonnet, Light, Windshield",severe,496
"Bonnet, Bumper, Light, Fender, Dickey",moderate,425
Bonnet,minor,28
"Bonnet, Light, Door, Dickey, Fender, Bumper",moderate,552
"Dickey, Door, Windshield, Fender",severe,592
Bumper,moderate,55
"Fender, Bumper, Windshield",severe,387
Fender,moderate,58
"Dickey, Windshield, Door, Light, Bumper",minor,240
"Fender, Light, Windshield, Bumper",severe,496
"Dickey, Bumper",minor,40
"Light, Bumper, Door, Bonnet, Windshield",moderate,300
"Dickey, Windshield, Door, Light",moderate,200
"Fender, Door, Bonnet, Dickey, Light",moderate,255
"Light, Windshield, Dickey, Fender, Bonnet",minor,240
"Fender, Bonnet, Windshield",moderate,210
"Fender, Dickey, Light, Windshield, Bonnet, Door",minor,174
"Bumper, Bonnet, Fender, Door, Dickey, Windshield",severe,744
"Dickey, Light, Fender, Bonnet, Bumper, Windshield, Door",severe,931
Windshield,moderate,80
"Light, Bumper, Door, Fender",severe,560
"Light, Fender",moderate,114
"Door, Bumper, Fender, Bonnet, Light, Dickey, Windshield",moderate,651
"Door, Windshield, Bonnet",minor,132
"Windshield, Bumper, Dickey, Bonnet, Door, Light",severe,696
"Fender, Windshield, Bonnet, Door, Light, Dickey, Bumper",moderate,616
"Windshield, Bumper, Dickey, Door",minor,148
"Fender, Bumper, Dickey",minor,111
"Fender, Dickey, Door, Windshield, Bumper, Bonnet",minor,300
"Door, Bonnet",moderate,188
"Light, Fender, Dickey, Door, Windshield",severe,510
"Bumper, Light, Windshield, Door, Bonnet, Dickey, Fender",moderate,406
"Door, Bumper, Dickey, Bonnet, Windshield, Fender, Light",severe,735
"Bumper, Bonnet, Windshield",minor,117
"Windshield, Light, Door",minor,63
"Bonnet, Fender, Windshield, Bumper, Door, Dickey",moderate,588
"Light, Bumper, Fender, Bonnet, Windshield",severe,710
"Bumper, Bonnet, Dickey, Fender, Light",moderate,365
"Bumper, Windshield, Light, Bonnet, Dickey",severe,635
"Dickey, Windshield, Fender, Bumper, Light, Bonnet, Door",minor,329
Bonnet,severe,126
"Door, Dickey, Windshield",moderate,252
"Windshield, Door, Dickey, Bonnet, Fender, Bumper, Light",moderate,700
"Bumper, Bonnet, Door, Windshield, Dickey",minor,235
"Bumper, Fender, Dickey",severe,381
"Fender, Windshield, Bonnet, Dickey, Door, Bumper",moderate,510
Fender,severe,101
"Fender, Windshield, Bonnet, Dickey, Light",moderate,370
"Light, Door",moderate,158
Bonnet,moderate,93
Windshield,minor,28
"Door, Windshield",minor,74
"Bonnet, Light, Bumper, Fender, Dickey, Windshield, Door",severe,973
Bonnet,moderate,83
"Light, Bonnet, Door",moderate,207
"Bumper, Dickey, Fender, Windshield",minor,148
"Fender, Bonnet, Light",moderate,168
"Bonnet, Door, Light, Dickey, Bumper",minor,225
"Dickey, Fender, Door, Bumper, Light, Windshield",severe,828
"Dickey, Light",moderate,198
"Windshield, Light, Door, Bumper, Bonnet, Dickey",moderate,426
"Bumper, Bonnet, Windshield, Light, Door, Dickey",minor,174
"Fender, Door, Light, Bumper",severe,416
"Fender, Door, Light, Windshield",minor,176
"Light, Windshield, Bonnet, Door",minor,128
"Door, Bumper, Fender, Windshield, Light, Bonnet",minor,234
"Bonnet, Light",moderate,168
"Bonnet, Door, Dickey, Bumper, Light",minor,175
"Door, Bumper, Dickey, Fender",severe,484
"Bonnet, Bumper",minor,52
Windshield,severe,115
"Bumper, Door, Fender, Windshield, Bonnet, Light",minor,282
"Dickey, Light, Bonnet, Windshield, Bumper",severe,655
"Light, Fender, Bumper, Door",severe,492
"Bonnet, Door, Bumper, Windshield",moderate,384
"Bumper, Door, Windshield, Bonnet",minor,108
"Windshield, Light, Fender",minor,129
"Dickey, Fender, Windshield, Light, Door, Bumper, Bonnet",minor,273
"Dickey, Light, Bonnet, Windshield, Door",moderate,335
"Bumper, Fender, Door, Bonnet, Windshield, Light, Dickey",minor,245
"Light, Fender, Bumper",severe,375
"Dickey, Fender, Light",severe,372
"Windshield, Door, Dickey",moderate,189
"Dickey, Bumper, Bonnet, Windshield, Light",severe,645
"Fender, Bumper, Windshield, Door, Light, Dickey, Bonnet",minor,210
"Fender, Dickey, Bumper, Light, Windshield, Door",severe,732
"Door, Fender, Bonnet, Bumper, Dickey",moderate,330
Light,severe,137
"Windshield, Dickey, Bumper",minor,60
"Fender, Windshield, Bumper, Dickey, Door, Light, Bonnet",severe,1043
"Door, Bonnet",minor,42
"Fender, Bumper",moderate,184
"Door, Bumper, Fender, Windshield",severe,488
"Bumper, Windshield, Fender, Bonnet, Light, Dickey, Door",moderate,392
"Bonnet, Door, Light, Windshield, Fender, Dickey",severe,786
"Windshield, Bonnet",minor,94
"Bumper, Fender, Light, Bonnet, Door, Windshield",minor,282
"Windshield, Dickey, Fender",minor,72
"Windshield, Dickey, Light",minor,132
"Dickey, Bonnet",minor,96
"Bumper, Bonnet, Light",moderate,231
"Windshield, Dickey, Light, Door",moderate,344
Bonnet,minor,29
"Bumper, Dickey, Fender, Windshield, Door, Bonnet, Light",minor,140
Windshield,minor,35
"Windshield, Bonnet, Door, Dickey, Light, Bumper",minor,156
Dickey,severe,111
"Dickey, Bumper, Light",severe,333
"Door, Windshield, Fender",moderate,204
"Windshield, Bumper",minor,62
"Bumper, Fender, Light",moderate,216
"Door, Bonnet, Fender, Bumper, Dickey, Windshield, Light",minor,238
Windshield,moderate,74
"Light, Fender, Dickey",moderate,177
Door,severe,123
"Bonnet, Fender",severe,208
"Fender, Windshield, Door",severe,435
"Fender, Windshield, Light, Dickey, Bumper, Bonnet",moderate,564
"Dickey, Light, Door, Fender, Windshield, Bonnet",severe,786
"Windshield, Bonnet, Dickey, Bumper",severe,588
"Light, Windshield, Bonnet, Dickey, Door, Fender, Bumper",minor,301
"Bonnet, Fender, Bumper, Door, Windshield, Light, Dickey",minor,238
"Bonnet, Bumper, Light, Dickey, Windshield",severe,655
"Door, Windshield, Bonnet, Dickey",minor,136
"Bumper, Fender, Bonnet, Door, Windshield, Light",minor,282
"Fender, Door",minor,78
"Dickey, Door, Windshield",severe,354
"Windshield, Bumper, Bonnet, Light, Fender, Dickey, Door",severe,756
"Dickey, Windshield",moderate,142
"Bumper, Door, Bonnet",moderate,159
"Dickey, Door, Windshield, Light, Bonnet, Fender",moderate,564
"Light, Bonnet, Dickey, Bumper, Door",severe,675
"Door, Bonnet, Dickey, Windshield, Bumper, Fender",severe,822
Light,moderate,89
"Bumper, Dickey, Fender, Windshield, Bonnet, Door, Light",severe,735
"Fender, Bumper, Door",moderate,297
"Fender, Dickey, Light, Door, Bonnet, Bumper, Windshield",severe,903
"Bonnet, Door, Fender, Dickey, Bumper, Light, Windshield",minor,343
"Door, Fender",minor,84
"Windshield, Dickey",severe,250
"Bumper, Windshield, Dickey, Door, Bonnet, Fender, Light",moderate,644
"Light, Bumper, Bonnet",minor,129
"Light, Door, Fender, Dickey, Bumper",moderate,430
"Windshield, Fender, Light, Bumper, Door",minor,185
"Door, Bumper, Dickey, Fender, Light, Windshield, Bonnet",severe,987
"Bonnet, Dickey, Door, Light",moderate,260
"Bonnet, Door",moderate,178
"Bumper, Fender, Light, Windshield, Door",moderate,420
Dickey,severe,147
"Windshield, Dickey, Door, Bumper",moderate,364
"Door, Fender, Dickey, Light",moderate,340
"Bonnet, Door, Light, Windshield",moderate,392
"Windshield, Bonnet, Dickey, Bumper",minor,136
"Dickey, Light, Bumper, Bonnet, Door, Fender, Windshield",severe,805
"Dickey, Door",minor,48
"Light, Bumper, Dickey",minor,66
"Door, Dickey",minor,42
"Bumper, Bonnet",severe,256
"Bonnet, Fender, Light, Door, Dickey",severe,660
"Dickey, Door, Bumper, Windshield, Fender, Light",moderate,402
"Door, Bonnet, Bumper",minor,129
Fender,moderate,67
"Light, Windshield, Bonnet, Door",moderate,264
"Bonnet, Windshield, Bumper, Light, Dickey",moderate,350
"Door, Fender, Bonnet, Bumper, Windshield",minor,215
"Bumper, Light, Bonnet",minor,117
"Fender, Door, Windshield, Bonnet, Light, Dickey, Bumper",severe,1029
"Dickey, Light, Door",severe,372
"Dickey, Bonnet, Windshield, Bumper",severe,564
"Dickey, Fender, Windshield, Bumper, Bonnet, Light, Door",minor,280
Bonnet,minor,24
"Bonnet, Fender, Door, Bumper",severe,404
"Windshield, Dickey",moderate,182
"Windshield, Fender, Dickey, Door, Bonnet, Bumper",severe,780
"Fender, Light, Dickey, Windshield",minor,160
"Bonnet, Dickey, Bumper, Light, Windshield, Door",severe,660
"Bonnet, Light, Door",minor,120
"Windshield, Bumper, Fender, Door",severe,576
"Bumper, Windshield, Bonnet, Fender",minor,128
"Bonnet, Dickey, Windshield, Bumper, Fender, Light, Door",severe,861
"Bumper, Bonnet, Windshield, Dickey, Fender, Door, Light",moderate,539
"Dickey, Fender, Bumper, Light, Windshield, Door",severe,756
"Bumper, Windshield, Bonnet, Door, Fender, Light, Dickey",moderate,693
"Fender, Windshield, Light, Door",moderate,248
Door,severe,124
"Bonnet, Light, Door",moderate,159
"Dickey, Bumper",severe,210
"Bonnet, Door, Bumper, Dickey, Fender, Light",minor,222
"Fender, Light, Windshield, Bumper",moderate,224
"Bonnet, Fender, Bumper, Door",moderate,304
"Bumper, Fender, Windshield",minor,111
"Fender, Bonnet, Door, Dickey, Bumper",minor,215
"Light, Windshield, Dickey, Fender",minor,92
Light,minor,45
"Bonnet, Windshield, Fender, Dickey, Bumper, Door, Light",severe,763
"Fender, Light, Bumper, Dickey",severe,548
"Windshield, Bumper, Bonnet, Door, Fender, Light",severe,648
"Fender, Bonnet, Light, Door, Dickey, Bumper, Windshield",minor,231
"Dickey, Windshield, Light, Door, Bumper",moderate,455
"Light, Bumper, Dickey, Windshield, Door, Bonnet",moderate,324
"Door, Bonnet",severe,296
"Door, Bumper, Windshield, Bonnet",moderate,224
"Bumper, Windshield",moderate,146
Light,severe,100
"Light, Door, Bumper, Dickey, Fender",moderate,345
"Windshield, Door",moderate,170
"Bonnet, Bumper, Light, Fender, Windshield, Door, Dickey",moderate,574
"Door, Windshield, Fender, Bonnet, Light, Dickey, Bumper",moderate,581
"Bumper, Bonnet, Fender",severe,306
"Dickey, Door, Fender",minor,99
"Dickey, Fender, Light, Windshield, Bumper, Bonnet, Door",severe,721
"Light, Fender, Bumper, Windshield, Door, Bonnet, Dickey",severe,728
"Dickey, Door, Windshield, Light, Fender, Bonnet, Bumper",moderate,574
"Bumper, Windshield, Dickey, Light",severe,432
"Bumper, Windshield, Fender, Bonnet",minor,112
"Bonnet, Windshield, Dickey",moderate,279
"Windshield, Door, Light, Fender",minor,136
"Fender, Bumper, Door, Dickey, Light, Windshield",severe,894
"Bumper, Door, Dickey, Fender, Windshield",minor,245
Fender,minor,46
"Windshield, Fender, Dickey, Door",minor,100
"Light, Fender, Bonnet, Door, Windshield, Bumper",moderate,540
"Fender, Bumper",severe,252
"Bonnet, Windshield, Door, Dickey, Fender, Bumper",moderate,348
"Bonnet, Windshield, Dickey, Fender",severe,420
"Door, Dickey, Windshield, Light",minor,164
Dickey,minor,35
"Dickey, Fender, Windshield, Light, Bonnet, Door, Bumper",moderate,539
"Bonnet, Dickey, Windshield, Light, Bumper",moderate,340
"Light, Windshield, Fender, Dickey, Door, Bonnet",moderate,312
"Bonnet, Windshield, Dickey, Door, Fender",minor,225
"Fender, Windshield",minor,92
"Bonnet, Light, Fender, Windshield, Bumper, Door, Dickey",moderate,399
"Bonnet, Fender",severe,246
"Fender, Door, Light, Bumper, Windshield, Bonnet",severe,660
Windshield,severe,128
"Light, Bonnet, Bumper, Fender, Dickey, Door, Windshield",moderate,644
"Bonnet, Bumper, Door, Light, Windshield",minor,245
"Dickey, Door, Bumper, Light",moderate,208
Dickey,minor,43
"Dickey, Bumper, Light, Door, Windshield, Fender, Bonnet",moderate,553
"Door, Bonnet, Light, Windshield, Dickey, Bumper",severe,600
"Bonnet, Dickey, Door",moderate,243
"Bumper, Light, Bonnet, Door, Windshield, Fender",severe,894
"Door, Dickey, Bonnet, Light, Windshield, Bumper, Fender",moderate,483
"Dickey, Fender",severe,266
"Fender, Dickey, Light, Bonnet, Windshield, Door",minor,246
